Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
2,2019-03-30 18:33:00,46.9089,-96.8396,Fargo,ND,,US-81 S,At US-81-BR/19th Ave/Exit 67 - Accident. Lane blocked.
2,2020-11-10 09:34:25,48.8062,-100.2268,Bottineau,ND,9601, 22nd Ave NE,Incident on ND-5 EB near MP 189 Expect delays.
2,2020-12-16 22:29:17,47.9933,-101.0357,Sawyer,ND,16539, 167th St SE,Incident on ND-23 EB near MP 119 Expect delays.
2,2020-11-26 04:07:30.000000000,46.8911,-99.0686,Cleveland,ND,,I-94 E,Stationary traffic on I-94 E from CR-67/Euclid Ave/5th St/Exit 238 (I-94) to 67 1/2 Ave/I-94 Service Rd (I-94) due to accident.
2,2020-11-06 18:25:18,46.7198,-96.8304,Horace,ND,,I-29 N,Incident on I-29 NB near MP 55 Expect delays.
2,2020-12-26 20:59:07.000000000,47.5512,-101.2407,Coleharbor,ND,1274, Highway 83 NW,Incident on US-83 NB near MP 152 Expect delays.
2,2020-11-06 02:50:05,46.2834,-99.2886,Lehr,ND,5272, Highway 13,Incident on ND-13 EB near MP 247 Expect delays.
2,2020-10-11 11:57:08,46.6333,-96.8314,Horace,ND,,I-29 N,Incident on I-29 NB near MP 49 Expect delays.
2,2020-11-13 03:44:23,46.9804,-96.8864,Harwood,ND,,I-29 N,Incident on I-29 NB near MP 74 Expect delays.
2,2020-12-02 21:25:29,47.2417,-97.0115,Grandin,ND,,I-29 N,Incident on I-29 NB near MP 95 Expect delays.
2,2020-10-16 14:12:26,46.8526,-96.9118,West Fargo,ND,,I-94 W,Incident on I-94 WB near MP 346 Expect delays.
2,2020-11-24 05:38:00,46.9202,-97.9085,Oriska,ND,,I-94 E,Slow traffic on I-94 E - US-52 E from Exit 296 (I-94) to ND-32/Exit 302 (I-94) due to accident.
2,2020-11-24 08:14:00,46.8929,-98.3288,Spiritwood,ND,,I-94 E,Slow traffic on I-94 E - US-52 E from CR-7/Exit 276 (I-94) to CR-11/Exit 281 (I-94) due to accident.
2,2020-12-30 22:10:06,48.3457,-100.4052,Towner,ND,,2nd Ave SE,Incident on ND-14 NB near MP 115 Expect delays.
2,2020-12-30 08:24:58,46.8772,-97.0479,Mapleton,ND,,I-94 E,Incident on I-94 EB near MP 339 Expect delays.
2,2020-12-30 01:29:53,46.9374,-96.8521,Fargo,ND,,I-29 N,Incident on I-29 NB near MP 70 Expect delays.
2,2020-10-20 06:58:28.000000000,46.9424,-103.8237,Sentinel Butte,ND,,I-94 E,Incident on I-94 EB near MP 11 Expect delays.
2,2020-12-29 17:09:48,46.8477,-96.8619,Fargo,ND,,45th St S,Incident on I-94 WB near MP 348 Expect delays.
2,2020-11-24 05:48:23,46.9199,-97.8658,Oriska,ND,,I-94 E,Incident on I-94 EB near MP 298 Expect delays.
2,2020-12-16 00:49:01,48.0574,-100.9294,Velva,ND,2, 1st Ave E,Incident on ND-41 NB near MP 74 Expect delays.
2,2020-10-23 14:23:57,48.0646,-99.5457,Maddock,ND,4999, Highway 19,Incident on ND-19 EB near MP 121 Expect delays.
2,2020-12-29 19:29:49,46.8213,-100.836,Mandan,ND,,I-94 E,Incident on I-94 EB near MP 157 Expect delays.
2,2020-12-11 20:07:57,48.821,-101.3,Mohall,ND,2701, 97th St NW,Incident on ND-256 NB near MP 4 Expect delays.
2,2020-12-13 03:23:18,46.8797,-102.5761,Gladstone,ND,,I-94 W,Incident on I-94 WB near MP 70 Expect delays.
2,2020-12-30 04:19:54,47.5008,-97.0873,Cummings,ND,,I-29 N,Incident on I-29 NB near MP 115 Expect delays.
2,2020-11-06 02:55:05,46.2257,-97.6346,Gwinner,ND,13179, 82nd St SE,Incident on ND-13 EB near MP 340 Expect delays.
2,2020-11-16 09:55:33,46.8633,-101.0032,Mandan,ND,,I-94 W,Incident on I-94 WB near MP 147 Expect delays.
2,2020-12-30 19:25:05,46.8624,-96.8416,Fargo,ND,,I-29 S,Incident on I-29 SB near MP 64 Expect delays.
2,2020-11-28 18:49:20,46.9018,-103.1897,Belfield,ND,3520, Highway 85 SW,Incident on US-85 NB near MP 76 Expect delays.
2,2020-12-30 07:04:57,47.6029,-97.0803,Buxton,ND,,I-29 S,Incident on I-29 SB near MP 118 Expect delays.
2,2020-12-30 17:15:03,47.8929,-97.09,Grand Forks,ND,,I-29 N,Incident on I-29 NB near MP 139 Expect delays.
2,2020-12-30 19:45:05,46.8474,-96.8536,Fargo,ND,,I-94 E,Incident on I-94 EB near MP 349 Expect delays.
2,2020-11-24 03:48:22,46.6418,-100.9043,Mandan,ND,5339, Highway 6,Incident on ND-6 NB near MP 55 Expect delays.
