Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
4,2017-02-25 15:23:15,41.7395,-106.8293,Hanna,WY,,US-30 E,Closed at I-80 - Road closed due to accident.
3,2019-04-30 05:52:46,41.0021,-107.6365,Baggs,WY,,WY-789,Between Hayden and Cottonwood St - Accident. Single alternate lane traffic.
2,2017-02-23 16:41:24,41.1233,-104.7747,Cheyenne,WY,,I-80 E,Between I-80-BL/WY-212/College Dr/Exit 364 and Campstool Road/Exit 367 - Accident.
4,2018-11-18 17:21:07,42.027,-104.9653,Wheatland,WY,,I-25 S,Closed between I-25-BL/US-87-BR/Exit 78 and I-25-BL/Exit 54 - Road closed due to accident.
4,2020-10-21 18:53:00.000000000,43.8317,-110.4177,Moran,WY,,US-26 E,Road US-287 is closed from Buffalo Valley Rd (US-287) to Rams Horn St (US-287) due to accident.
4,2017-02-27 11:27:57,41.7292,-107.7257,Wamsutter,WY,,I-80 W,Closed between WY-789/Baggs Rd/Exit 187 and Continental Divide Rd/Exit 184 - Road closed due to accident.
2,2017-01-25 09:41:56,41.9117,-104.9273,Wheatland,WY,,US-87 S,At Antelope Road/Exit 68 - Accident.
2,2016-11-10 13:12:49,41.132,-104.7113,Cheyenne,WY,,I-80 E,At Campstool Road/Exit 367 - Accident.
3,2018-11-25 01:22:49,41.6335,-106.285,Rock River,WY,,Elk Mountain Arlington Rd,Entry ramp to I-80 Eastbound from Elk Mountain Arlington Rd both ways closed due to winter storm.
4,2019-03-08 23:39:31,41.1565,-105.401,Laramie,WY,,I-80 W,Closed between Vedauwoo Rd/Exit 329 and WY-210/Happy Jack Road/Exit 323 - Road closed due to accident.
4,2018-09-18 06:00:12,41.2654,-110.952,Evanston,WY,,I-80 W,Closed between WY-150/Front St/Exit 5 and I-80-BL/Harrison Dr/Exit 3 - Road closed due to accident.
3,2018-03-16 11:36:12,42.7321,-105.341,Douglas,WY,,US-87 N,Accident on I-25 Northbound before Exit 135 I-25 Bus Richards St.
4,2018-10-03 03:16:24,41.788,-107.2033,Rawlins,WY,,I-80 W,Closed between I-80-BL/US-287/Exit 215 and Higley Blvd/Exit 214 - Road closed due to accident.
3,2017-09-21 06:48:42,41.7412,-106.8303,Hanna,WY,,I-80 E,Right lane blocked due to accident on I-80 Westbound before Exit 235 US-30 US-287.
4,2019-04-05 17:00:44,43.0247,-108.3806,Riverton,WY,101, N Federal Blvd,Closed between US-26/Main St and US-26 - Road closed due to accident.
2,2019-04-04 09:43:22,43.4135,-106.3853,Midwest,WY,,I-25 N,At WY-387/Exit 227 - Accident. Right lane blocked.
3,2018-08-24 07:46:43,41.6917,-108.8782,Rock Springs,WY,,I-80 E,Left lane blocked due to accident on I-80 Eastbound before Exit 130 I-80 Service Rd.
2,2016-12-07 11:04:57,41.1153,-104.8446,Cheyenne,WY,,I-80 W,At I-25/US-87/Exit 359 - Accident.
4,2017-02-22 08:18:17,44.2276,-106.9254,Buffalo,WY,6499, US Highway 16 W,Closed at I-25-BL/US-87-BR/Fort St - Road closed due to accident.
3,2018-11-25 01:22:49,41.7721,-107.0859,Rawlins,WY,,I-80 W,Entry ramp to I-80 Westbound from Lincoln Ave both ways closed due to winter storm.
4,2018-08-09 19:37:03,41.5277,-109.428,Green River,WY,,I-80 E,At US-191/Flaming Gorge Rd/Exit 99 - Accident. Blocked ahead.
2,2019-10-09 05:33:08,44.2929,-105.5308,Gillette,WY,,Skyline Dr,At I-90 (West) - Accident.
4,2016-11-22 08:54:04,41.117,-104.8766,Cheyenne,WY,,I-80 W,Closed between Roundtop Rd and I-80-BL/US-30/E Grand Ave/Exit 316 - Road closed due to accident.
2,2020-10-21 18:53:00,43.5476,-109.6667,Dubois,WY,1498, W Ramshorn St,Accident on US-287 from Rams Horn St (US-287) to Buffalo Valley Rd (US-287).
4,2019-01-17 20:03:52,41.7295,-107.7245,Wamsutter,WY,,I-80 W,Closed between WY-789/Baggs Rd/Exit 187 and Continental Divide Rd/Exit 184 - Road closed due to accident. emergency vehicles at scene.
4,2016-09-10 12:33:47,41.1861,-104.8382,Cheyenne,WY,,US-85 S,Closed between Vandehei Ave/Exit 13 and I-25-BL/US-85/Central Ave/Exit 12 - Road closed due to accident.
3,2018-11-25 01:22:49,41.2978,-105.5895,Laramie,WY,598,Boswell Dr,Entry ramp to I-80 Westbound from S 3rd St both ways closed due to winter storm.
2,2018-02-20 09:30:06,41.562,-109.5417,Green River,WY,,Overland Blvd,Left lane blocked due to accident on I-80 Westbound at Exit 85 Overland Blvd.
2,2016-08-20 12:52:55,41.2743,-110.8038,Evanston,WY,,I-80 E,At Divide Rd/Exit 13 - Accident.
3,2018-11-25 01:22:49,41.6345,-106.2827,Hanna,WY,,Elk Mountain Arlington Rd,Entry ramp to I-80 Westbound from Wagon Hound Rd both ways closed due to winter storm.
3,2019-05-09 15:50:16,43.2262,-108.0521,Shoshoni,WY,,US Highway 20,At US-20/WY-789/Idaho St - Accident. Lane blocked.
4,2017-08-10 13:32:11,41.9317,-104.9439,Wheatland,WY,,US-87 S,Closed between Bordeaux Rd/Exit 70 and Antelope Road/Exit 68 - Road closed due to accident.
4,2017-07-19 13:27:29,43.8332,-110.4253,Moran,WY,,US-26 E,Closed between US-191/US-89 and Bourbon St - Road closed due to accident.
3,2019-08-28 13:55:14,41.677,-107.976,Wamsutter,WY,,I-80 W,At CR-423/Wamsutter-Crooks/Exit 173 - Accident. Blocked ahead.
2,2018-01-29 08:09:40,41.1332,-104.8135,Cheyenne,WY,153,E Lincolnway,Right lane blocked due to accident on US-85 Central Ave Northbound at US-30 Lincolnway.
2,2017-12-29 06:31:46,41.5088,-106.0534,Bosler,WY,,I-80 W,At Cooper Cove Road/Exit 279 - Accident. Right lane blocked.
3,2018-11-25 01:22:49,41.7805,-107.1297,Sinclair,WY,,I-80 E,Entry ramp to I-80 Eastbound from Lincoln Ave Westbound closed due to winter storm.
3,2017-08-16 01:52:39,41.1354,-104.7046,Cheyenne,WY,,Campstool Rd,Right lane blocked due to accident on I-80 Westbound at Exit 367 Campstool Rd.
3,2016-09-05 07:01:16,41.7663,-104.8084,Chugwater,WY,,US-87 S,At before I-25-BL/Exit 54 - Accident.
4,2019-01-19 20:05:21,40.9996,-109.4309,Rock Springs,WY,,US Highway 191,Closed between Wyoming/Utah State Line and CR-62/Clay Basin Rd - Road closed due to accident.
3,2018-04-17 08:14:38,41.308,-110.7311,Fort Bridger,WY,,US-189 N,Left lane blocked due to accident on I-80 Westbound at Exit 18 US-189.
3,2019-01-02 11:54:06,41.3378,-106.7459,Saratoga,WY,,Cow Creek Sta,At Encampment - Jackknifed articulated truck. Blocked ahead.
4,2019-09-28 20:26:12,41.1253,-105.3086,Laramie,WY,,I-80 E,Closed between North Buford Rd/Exit 335 and Otto Rd/Exit 348 - Road closed due to accident. Accident.
3,2018-03-26 03:09:13,44.2901,-105.4671,Gillette,WY,,US-16 W,Right lane blocked due to accident on I-90 Westbound at Exit 128 WY-51.
