State,Crash_Count_YAvg,Registered_Vehicles_Avg,Sex_1_Pop,Sex_2_Pop,Race_1_Pop,Race_2_Pop,Race_3_Pop,Race_4_Pop,Race_5_Pop,Race_6_Pop,Origin_0_Pop,Origin_1_Pop,Origin_2_Pop,Total_2019_Pop,sum_interstate_distance,sum_highway_distance,sum_other_distance,LandArea_SqMi,blueLaws,Weed_Legalization,Medicinal_Weed_Available,Weed_Decriminalized,Severity_avg,Severity_cat,total_road_distance,Crash_Index_Weighted
Alabama,6501.666667,5214826.869,3756166,4121078,5535308,2060146,56634,118462,7804,98890,3938622,3796692,141930,23631732,108.7094349,168.6303422,2055.135931,50645,1,Mixed,Yes,No,2.292249925,Medium Severity,2332.475708,0.531660051
Arkansas,503.6666667,2850984.371,2326922,2466136,3852758,720534,47704,79818,16024,76220,2396529,2239461,157068,14379174,72.39581273,172.5173662,2121.400732,52035,1,Mixed,Yes,No,2.382141346,Medium Severity,2366.313911,0.14214499
Arizona,11582.33333,5917768.678,5750252,5896632,9774984,576770,559436,445012,31754,258928,5823442,4161567,1661875,34940652,119.1182173,75.79470237,1519.798416,113594,0,Fully Legal,Yes,Yes,2.144375841,Low Severity,1714.711335,0.527718351
California,121013,31021579.64,31216500,32017116,45476790,4126560,1024614,10277334,316162,2012156,31616808,20157843,11458965,189700848,244.6339533,93.074124,4664.484637,155779,0,Fully Legal,Yes,Yes,2.202664681,Medium Severity,5002.192714,0.598257788
Colorado,8534.333333,5342793.869,4662722,4623020,8158550,411162,141074,331014,17500,226442,4642871,3737570,905301,27857226,104.2739564,210.5197349,2022.606169,103642,0,Fully Legal,Yes,Yes,2.609978541,High Severity,2337.399861,0.667645539
Connecticut,4148.333333,2861566.497,2829874,3028820,4744064,685310,31340,285658,6164,106158,2929347,2492559,436788,17576082,35.72856274,22.53319072,471.569466,4842,0,Mixed,Yes,Yes,2.515174191,High Severity,529.8312194,0.25031294
District of Columbia,737.3333333,349470.6026,549872,625840,563666,520262,6380,56520,1360,27524,587856,528635,59221,3527136,1.188612257,1.643632846,20.55262933,61,0,Fully Legal,Yes,Yes,2.4129975,Med-High Severity,23.38487443,0.134005131
Delaware,857.3333333,998709.3322,759230,827602,1127352,352688,10262,64686,1554,30290,793416,730203,63213,4760496,4.170595595,14.77696548,207.4382015,1949,0,Mixed,Yes,Yes,2.488,High Severity,226.3857626,0.191005327
Florida,38067,17429663.51,17161930,18287566,27977026,5612238,177870,1062616,39046,580700,17724748,13270067,4454681,106348488,139.8322906,222.0320219,3012.123448,53625,1,Mixed,Yes,No,2.24877706,Medium Severity,3373.987761,0.405257924
Georgia,14606,8516480.615,8065024,8739416,10327490,5363292,84242,744524,18066,266826,8402220,7690632,711588,50413320,118.7698581,248.7933504,2834.434202,57513,1,Mixed,CBD Oil Only,No,2.633355384,High Severity,3201.99741,0.620892639
Iowa,1677,3742765.583,2481882,2537824,4610588,180596,23372,133602,6816,64732,2509853,2379418,130435,15059118,81.62899102,180.0694018,2584.541829,55857,0,Mixed,CBD Oil Only,No,2.571112516,High Severity,2846.240222,0.330964779
Idaho,425,1890033.636,1386122,1393422,2604302,23424,44724,45466,6080,55548,1389772,1234326,155446,8338632,67.77503359,106.6965322,1357.058952,82643,0,Fully Illegal,No,No,2.193277311,Low Severity,1531.530518,0.174147896
Illinois,15841.33333,10723872.19,9911470,10455076,15788586,2909554,120900,1229260,13174,305072,10183273,8583831,1599442,61099638,236.2758515,159.8956502,3681.514766,55519,0,Fully Legal,Yes,Yes,2.470448046,Med-High Severity,4077.686268,0.529150485
Indiana,5696.333333,6194743.182,5219264,5469282,9193706,1008216,44422,277758,6590,157854,5344273,5015091,329182,32065638,148.8026994,151.3939337,2334.126739,35826,2,Mixed,CBD Oil Only,No,2.531868923,High Severity,2634.323372,0.368948872
Kansas,1467.666667,2694740.155,2267674,2316426,4001464,272118,53816,149638,5504,101560,2292050,2052553,239497,13752300,90.2766246,249.1326231,2679.244408,81759,2,Fully Illegal,No,No,2.479715207,High Severity,3018.653655,0.59186231
Kentucky,3468.666667,4348237.655,3489886,3665422,6335482,584698,21392,110666,6204,96866,3577654,3462512,115142,21465924,90.49667319,159.6886265,1836.979655,39486,1,Mixed,CBD Oil Only,No,2.471103556,High Severity,2087.164955,0.366304177
