State,Severity,Year,Month,Day,Counter
AL,1,2017,December,22,1
AL,1,2017,December,27,1
AL,1,2017,July,28,1
AL,1,2018,April,30,1
AL,1,2018,December,07,1
AL,1,2018,February,23,1
AL,1,2018,February,27,1
AL,1,2018,June,28,1
AL,1,2018,May,15,1
AL,1,2018,May,16,1
AL,1,2019,August,27,1
AL,1,2019,February,20,1
AL,1,2020,April,03,1
AL,1,2020,April,07,2
AL,1,2020,April,13,1
AL,1,2020,April,14,2
AL,1,2020,April,15,3
AL,1,2020,April,16,1
AL,1,2020,April,21,1
AL,1,2020,April,22,3
AL,1,2020,April,23,2
AL,1,2020,April,26,1
AL,1,2020,April,28,4
AL,1,2020,April,29,2
AL,1,2020,April,30,4
AL,1,2020,June,01,4
AL,1,2020,June,02,1
AL,1,2020,June,08,5
AL,1,2020,June,09,2
AL,1,2020,June,11,1
AL,1,2020,June,12,5
AL,1,2020,June,17,2
AL,1,2020,June,18,2
AL,1,2020,June,19,1
AL,1,2020,June,22,2
AL,1,2020,June,23,1
AL,1,2020,June,24,3
AL,1,2020,June,25,1
AL,1,2020,June,26,3
AL,1,2020,June,29,1
AL,1,2020,March,19,4
AL,1,2020,March,22,3
AL,1,2020,March,23,4
AL,1,2020,March,24,3
AL,1,2020,March,25,3
AL,1,2020,March,27,2
AL,1,2020,March,31,4
AL,1,2020,May,05,1
AL,1,2020,May,06,1
AL,1,2020,May,07,4
AL,1,2020,May,11,1
AL,1,2020,May,13,1
AL,1,2020,May,14,4
AL,1,2020,May,15,2
AL,1,2020,May,18,3
AL,1,2020,May,20,3
AL,1,2020,May,21,2
AL,1,2020,May,22,1
AL,1,2020,May,23,1
AL,1,2020,May,25,1
AL,1,2020,May,26,1
AL,1,2020,May,27,2
AL,1,2020,May,28,1
AL,1,2020,May,29,1
AL,2,2016,August,04,1
AL,2,2016,August,09,1
AL,2,2016,August,12,1
AL,2,2016,August,15,1
AL,2,2016,August,18,1
AL,2,2016,August,23,1
AL,2,2016,August,29,1
AL,2,2016,August,30,1
AL,2,2016,August,31,1
AL,2,2016,December,06,1
AL,2,2016,December,07,1
AL,2,2016,December,08,1
AL,2,2016,December,14,3
AL,2,2016,December,15,2
AL,2,2016,December,16,1
AL,2,2016,December,19,1
AL,2,2016,December,21,1
AL,2,2016,December,23,2
AL,2,2016,July,05,1
AL,2,2016,July,06,1
AL,2,2016,July,19,1
AL,2,2016,July,20,1
AL,2,2016,July,21,1
AL,2,2016,July,22,1
AL,2,2016,July,27,1
AL,2,2016,June,21,1
AL,2,2016,June,23,1
AL,2,2016,June,24,1
AL,2,2016,June,25,1
AL,2,2016,June,27,3
AL,2,2016,June,29,1
AL,2,2016,June,30,1
AL,2,2016,November,02,1
AL,2,2016,November,04,2
AL,2,2016,November,07,1
AL,2,2016,November,08,1
AL,2,2016,November,10,2
AL,2,2016,November,11,1
AL,2,2016,November,17,1
AL,2,2016,October,04,1
AL,2,2016,October,05,5
AL,2,2016,October,06,1
AL,2,2016,October,11,1
AL,2,2016,October,18,2
AL,2,2016,October,19,1
AL,2,2016,October,25,1
AL,2,2016,October,31,1
AL,2,2016,September,02,1
AL,2,2016,September,06,2
AL,2,2016,September,07,2
AL,2,2016,September,08,1
AL,2,2016,September,09,1
AL,2,2016,September,15,2
AL,2,2016,September,26,2
AL,2,2016,September,28,3
AL,2,2017,April,03,1
AL,2,2017,April,04,2
AL,2,2017,April,05,3
AL,2,2017,April,12,1
AL,2,2017,April,18,4
AL,2,2017,April,19,2
AL,2,2017,April,28,2
AL,2,2017,August,01,4
AL,2,2017,August,02,7
AL,2,2017,August,03,9
AL,2,2017,August,04,8
AL,2,2017,August,06,3
AL,2,2017,August,07,13
AL,2,2017,August,08,10
AL,2,2017,August,09,8
AL,2,2017,August,10,6
AL,2,2017,August,11,5
AL,2,2017,August,14,7
AL,2,2017,August,15,7
AL,2,2017,August,16,10
AL,2,2017,August,17,8
AL,2,2017,August,18,8
AL,2,2017,August,19,1
AL,2,2017,August,20,1
AL,2,2017,August,21,8
AL,2,2017,August,22,8
AL,2,2017,August,23,7
AL,2,2017,August,24,7
AL,2,2017,August,25,8
AL,2,2017,August,27,3
AL,2,2017,August,28,4
AL,2,2017,August,29,6
AL,2,2017,August,30,8
AL,2,2017,August,31,6
AL,2,2017,December,01,9
AL,2,2017,December,02,2
AL,2,2017,December,04,6
AL,2,2017,December,05,9
AL,2,2017,December,06,8
AL,2,2017,December,07,3
AL,2,2017,December,08,5
AL,2,2017,December,09,2
AL,2,2017,December,10,1
AL,2,2017,December,11,9
AL,2,2017,December,12,7
AL,2,2017,December,13,8
AL,2,2017,December,14,8
AL,2,2017,December,15,6
AL,2,2017,December,16,5
AL,2,2017,December,18,10
AL,2,2017,December,19,5
AL,2,2017,December,20,8
AL,2,2017,December,21,11
AL,2,2017,December,22,7
AL,2,2017,December,23,3
AL,2,2017,December,24,5
AL,2,2017,December,25,1
AL,2,2017,December,26,1
AL,2,2017,December,27,7
AL,2,2017,December,28,2
AL,2,2017,December,29,7
AL,2,2017,December,30,2
AL,2,2017,February,07,2
AL,2,2017,February,10,1
AL,2,2017,February,16,1
AL,2,2017,February,24,2
AL,2,2017,January,09,1
AL,2,2017,January,11,2
AL,2,2017,January,17,2
AL,2,2017,January,19,5
AL,2,2017,January,23,3
AL,2,2017,January,24,3
AL,2,2017,January,30,3
AL,2,2017,July,06,2
AL,2,2017,July,08,1
AL,2,2017,July,10,2
AL,2,2017,July,12,3
AL,2,2017,July,13,2
AL,2,2017,July,14,4
AL,2,2017,July,21,2
AL,2,2017,July,24,4
AL,2,2017,July,25,2
AL,2,2017,July,26,3
AL,2,2017,July,27,5
AL,2,2017,July,28,5
AL,2,2017,July,30,1
AL,2,2017,July,31,3
AL,2,2017,June,05,2
AL,2,2017,June,07,1
AL,2,2017,June,08,2
AL,2,2017,June,09,3
AL,2,2017,June,12,4
AL,2,2017,June,13,6
AL,2,2017,June,14,2
AL,2,2017,June,18,2
AL,2,2017,June,20,3
AL,2,2017,June,26,1
AL,2,2017,June,29,1
AL,2,2017,June,30,1
AL,2,2017,March,01,1
AL,2,2017,March,07,1
AL,2,2017,March,08,2
AL,2,2017,March,13,2
AL,2,2017,March,14,2
AL,2,2017,March,16,1
AL,2,2017,March,17,3
AL,2,2017,March,20,1
AL,2,2017,March,22,1
AL,2,2017,March,29,2
AL,2,2017,March,30,1
AL,2,2017,May,01,2
AL,2,2017,May,02,1
AL,2,2017,May,08,1
AL,2,2017,May,09,1
AL,2,2017,May,10,3
AL,2,2017,May,14,1
AL,2,2017,May,15,7
AL,2,2017,May,18,4
AL,2,2017,May,22,1
AL,2,2017,May,23,4
AL,2,2017,May,24,5
